prior_knowledge_score,avg_quiz_score,cognitive_load_score,avg_time_per_question,error_rate,revision_frequency,help_requests_count,attention_span_score,mental_fatigue_score,time_variation,concept_mastery_rate,engagement_rate,avg_study_time_per_day,performance_score,ready_for_advanced,ready_for_advanced_svc,learning_path_type,recommended_difficulty
19,9,10,36,0.7554566308907337,3,4,8,7,17,41,6,5,4.685186826084766,0,0,0,0
39,44,8,87,0.29263400953723995,14,13,4,3,27,36,0,4,79.82463888196101,1,1,2,2
89,18,7,30,0.2572697071800931,10,5,6,5,4,18,70,4,63.77924359680455,1,1,1,1
45,48,3,39,0.7554494041050687,4,11,5,8,17,17,84,1,46.92777995222847,0,0,1,0
33,75,8,82,0.8043477360986089,1,1,8,2,4,93,90,3,51.51165682115082,0,0,1,1
77,79,3,99,0.3435412099705706,8,19,10,8,34,3,1,2,86.02125145541339,1,1,2,2
15,15,8,89,0.18415929600395087,0,2,9,9,34,33,17,5,9.324332401207208,0,0,0,0
34,37,7,21,0.040204933707258195,2,2,4,5,39,87,2,2,47.20413489947894,0,0,1,0
67,58,4,99,0.21075500765130017,6,11,3,1,14,47,45,4,74.7128743270628,1,1,2,1
84,46,6,106,0.22253706793183092,6,1,5,9,38,6,74,2,56.226786966304736,0,1,1,1
81,41,4,115,0.534049471245764,12,19,2,3,22,87,33,1,95.1809929040635,1,1,2,2
44,19,6,89,0.9799342094082066,9,4,2,6,32,98,79,1,56.082153222886454,0,1,1,1
44,23,10,25,0.46048341051152475,12,15,5,2,4,61,49,4,65.03413186411115,1,1,1,1
25,38,9,74,0.3817475105401609,1,10,1,6,9,88,58,4,22.70097744466129,0,0,0,0
74,52,3,73,0.034861276864450064,14,15,8,3,29,74,90,1,100.0,1,1,2,2
12,68,6,32,0.05421895666331478,1,5,2,2,14,41,86,5,44.23241407086163,0,0,0,0
18,83,8,77,0.8063767087169461,11,10,3,8,29,69,21,5,76.43502054310966,1,1,2,2
2,88,1,105,0.6288577766359155,7,17,10,3,15,77,15,3,84.56386060549768,1,1,2,2
46,93,2,16,0.6465675007187582,4,5,2,10,4,97,70,1,86.51820495902211,1,1,2,2
61,34,8,19,0.4692291470950397,5,19,3,2,24,81,59,1,51.59655666807191,0,0,1,1
33,51,3,38,0.020763803967286387,2,20,1,7,29,26,84,3,44.407998559464815,0,0,0,0
68,53,7,16,0.2638532398583977,1,2,2,7,26,40,73,3,46.47109182013127,0,0,1,0
59,67,2,114,0.7809383919494293,10,10,5,2,19,17,27,4,83.41073009161411,1,1,2,2
17,97,7,26,0.7025006865250336,8,11,7,1,4,42,28,4,67.69374316068286,1,1,1,1
87,80,7,105,0.6074132370664724,2,5,4,8,19,32,65,1,61.03269668145175,1,1,1,1
24,85,3,84,0.040506103262098025,5,0,4,3,23,29,21,2,67.34811282818347,1,1,1,1
47,39,6,48,0.44664771147172555,8,12,8,4,1,66,69,0,69.36128071298675,1,1,1,1
48,92,8,62,0.7700165497167966,3,11,3,5,11,88,56,2,82.33258375028538,1,1,2,2
94,28,2,12,0.6369754332969946,1,19,7,4,25,76,52,2,58.41244108060863,0,1,1,1
77,38,3,48,0.3787714601606055,3,0,7,10,10,84,51,3,63.277358137119464,1,1,1,1
61,66,3,78,0.03702034783906549,2,20,5,2,14,15,52,4,50.427251940971665,0,0,1,1
66,26,7,91,0.7887383059238057,8,20,10,9,1,87,35,5,58.248880101400644,0,1,1,1
90,87,3,30,0.31311968778239485,9,14,2,6,35,83,99,0,100.0,1,1,2,2
76,28,7,18,0.8783942858031669,2,17,6,9,28,54,11,0,40.147576816006605,0,0,0,0
